Date,Close
11/3/2015,11.03
11/4/2015,9.97
11/5/2015,9.96
11/6/2015,9.21
11/9/2015,8.8
11/10/2015,8.49
11/11/2015,8.96
11/12/2015,8.94
11/13/2015,8.69
11/16/2015,8.78
11/17/2015,8.81
11/18/2015,8.72
11/19/2015,8.72
11/20/2015,8.47
11/23/2015,8.9
11/24/2015,8.91
11/25/2015,9.24
11/27/2015,9.29
11/30/2015,9.31
12/1/2015,9.28
12/2/2015,9.23
12/3/2015,9.2
12/4/2015,9.27
12/7/2015,9.47
12/8/2015,9.51
12/9/2015,9.43
12/10/2015,9.24
12/11/2015,8.86
12/14/2015,9.03
12/15/2015,9.51
12/16/2015,9.79
12/17/2015,9.59
12/18/2015,8.62
12/21/2015,8.71
12/22/2015,8.78
12/23/2015,8.84
12/24/2015,8.92
12/28/2015,8.52
12/29/2015,8.51
12/30/2015,8.48
12/31/2015,8.26
1/4/2016,8.24
1/5/2016,8.51
1/6/2016,8.8
1/7/2016,8.67
1/8/2016,8.38
1/11/2016,7.44
1/12/2016,7.35
1/13/2016,6.99
1/14/2016,7.07
1/15/2016,7
1/19/2016,6.65
1/20/2016,6.88
1/21/2016,6.99
1/22/2016,7.42
1/25/2016,7.25
1/26/2016,7.38
1/27/2016,7.3
1/28/2016,7.49
1/29/2016,7.76
2/1/2016,7.55
2/2/2016,7.12
2/3/2016,7.32
2/4/2016,7.48
2/5/2016,7.03
2/8/2016,6.72
2/9/2016,6.36
2/10/2016,6.72
2/11/2016,6.73
2/12/2016,6.9
2/16/2016,7.49
2/17/2016,8.04
2/18/2016,7.8
2/19/2016,7.93
2/22/2016,7.95
2/23/2016,7.39
2/24/2016,7.9
2/25/2016,7.9
2/26/2016,7.65
2/29/2016,7.94
3/1/2016,8.36
3/2/2016,8.92
3/3/2016,8.89
3/4/2016,8.82
3/7/2016,8.94
3/8/2016,8.68
3/9/2016,8.74
3/10/2016,9.06
3/11/2016,9.27
3/14/2016,9.05
3/15/2016,9.17
3/16/2016,9.16
3/17/2016,9.27
3/18/2016,9.23
3/21/2016,9.06
3/22/2016,9.15
3/23/2016,8.87
3/24/2016,8.85
3/28/2016,8.7
3/29/2016,8.75
3/30/2016,8.91
3/31/2016,8.7
4/1/2016,8.67
4/4/2016,8.71
4/5/2016,8.32
4/6/2016,8.48
4/7/2016,8.38
4/8/2016,8.26
4/11/2016,8.05
4/12/2016,8.25
4/13/2016,8.49
4/14/2016,8.46
4/15/2016,8.77
4/18/2016,8.83
4/19/2016,8.83
4/20/2016,8.79
4/21/2016,8.98
4/22/2016,9.03
4/25/2016,9
4/26/2016,9.06
4/27/2016,9.33
4/28/2016,8.7
4/29/2016,8.78
5/2/2016,8.51
5/3/2016,8.4
5/4/2016,8.82
5/5/2016,8.97
5/6/2016,8.27
5/9/2016,8.19
5/10/2016,8.41
5/11/2016,8.29
5/12/2016,8.28
5/13/2016,8.59
5/16/2016,8.61
5/17/2016,8.48
5/18/2016,8.34
5/19/2016,8.22
5/20/2016,8.38
5/23/2016,8.55
5/24/2016,8.49
5/25/2016,8.56
5/26/2016,8.86
5/27/2016,8.94
5/31/2016,9.25
6/1/2016,9.4
6/2/2016,9.32
6/3/2016,9.21
6/6/2016,9.64
6/7/2016,9.63
6/8/2016,9.56
6/9/2016,9.67
6/10/2016,9.44
6/13/2016,9.57
6/14/2016,9.58
6/15/2016,9.79
6/16/2016,9.9
6/17/2016,9.72
6/20/2016,10
6/21/2016,9.75
6/22/2016,9.58
6/23/2016,9.93
6/24/2016,9.26
6/27/2016,8.74
6/28/2016,8.84
6/29/2016,9.41
6/30/2016,9.59
7/1/2016,9.66
7/5/2016,9.46
7/6/2016,9.2
7/7/2016,9.21
7/8/2016,9.6
7/11/2016,9.71
7/12/2016,10.2
7/13/2016,10.16
7/14/2016,10.14
7/15/2016,9.99
7/18/2016,9.88
7/19/2016,9.83
7/20/2016,9.99
7/21/2016,9.83
7/22/2016,9.82
7/25/2016,9.88
7/26/2016,9.86
7/27/2016,9.82
7/28/2016,10.11
7/29/2016,10.06
8/1/2016,11.86
